"date","region_municipality_code","weeknumber","RNA_value","municipality_name","population","Total_reported","Hospital_admission","Deceased","reported_norm","hospital_norm","deceased_norm"
2020-09-07,"GM0432","37",1926492500,"Opmeer",11836,0,0,0,0,0,0
2020-09-07,"GM0437","37",643886840000,"Ouder-Amstel",14026,11,0,0,78.4257806929987,0,0
2020-09-07,"GM0439","37",NA,"Purmerend",81249,18,0,0,22.1541188199239,0,0
2020-09-07,"GM0441","37",95412771000,"Schagen",46483,4,0,0,8.6052965600327,0,0
2020-09-07,"GM0448","37",NA,"Texel",13575,2,0,0,14.7329650092081,0,0
2020-09-07,"GM0450","37",NA,"Uitgeest",13666,7,0,0,51.2220108297966,0,0
2020-09-07,"GM0451","37",NA,"Uithoorn",29478,22,0,0,74.6319288961259,0,0
2020-09-07,"GM0453","37",0,"Velsen",68648,49,1,1,71.3786271996271,1.45670667754341,1.45670667754341
2020-09-07,"GM0457","37",NA,"Weesp",19738,17,0,0,86.1282804742122,0,0
2020-09-07,"GM0473","37",738024093000,"Zandvoort",17116,7,0,0,40.8974059359663,0,0
2020-09-07,"GM0479","37",3489578570000,"Zaanstad",156794,89,2,0,56.7623761113308,1.27555901373777,0
2020-09-07,"GM0482","37",3.109949e+12,"Alblasserdam",20165,11,0,0,54.5499628068435,0,0
2020-09-07,"GM0484","37",41078416000,"Alphen aan den Rijn",111897,48,0,1,42.8965924019411,0,0.893679008373772
2020-09-07,"GM0489","37",3410674232500,"Barendrecht",48714,40,0,0,82.1119185449768,0,0
2020-09-07,"GM0498","37",604443312000,"Drechterland",19719,5,0,0,25.3562553882043,0,0
2020-09-07,"GM0501","37",1039122573000,"Brielle",17271,1,0,0,5.79005268947947,0,0
2020-09-07,"GM0502","37",6025296165333.33,"Capelle aan den IJssel",67122,39,0,0,58.1031554482882,0,0
2020-09-07,"GM0503","37",659648416000,"Delft",103595,159,0,0,153.482310922342,0,0
2020-09-07,"GM0505","37",10158197508000,"Dordrecht",119284,51,1,1,42.7551054625935,0.838335401227323,0.838335401227323
2020-09-07,"GM0512","37",5884191824666.67,"Gorinchem",37022,12,0,0,32.4131597428556,0,0
2020-09-07,"GM0513","37",0,"Gouda",73427,26,0,0,35.4093180982472,0,0
2020-09-07,"GM0518","37",15520378516000,"'s-Gravenhage",545838,632,7,2,115.785269622122,1.28243178378933,0.366409081082666
2020-09-07,"GM0523","37",902763212250,"Hardinxveld-Giessendam",18295,2,0,0,10.9319486198415,0,0
2020-09-07,"GM0530","37",2699399028000,"Hellevoetsluis",40142,12,0,0,29.8938767375816,0,0
2020-09-07,"GM0531","37",3352494350000,"Hendrik-Ido-Ambacht",31202,20,0,0,64.098455227229,0,0
2020-09-07,"GM0532","37",662478630000,"Stede Broec",21726,1,0,0,4.60278007916782,0,0
2020-09-07,"GM0534","37",2648633460000,"Hillegom",22209,9,0,0,40.5241118465487,0,0
2020-09-07,"GM0537","37",120733800000,"Katwijk",65753,10,0,0,15.2084315544538,0,0
2020-09-07,"GM0542","37",8780199680000,"Krimpen aan den IJssel",29526,9,0,0,30.4816094289778,0,0
2020-09-07,"GM0546","37",NA,"Leiden",125099,93,0,0,74.3411218315094,0,0
