"date","region_municipality_code","weeknumber","RNA_value","municipality_name","Security_region_name","sum_population","Total_reported","Hospital_admission","Deceased","population","reported_norm","hospital_norm","deceased_norm"
2020-09-28,"VR24","40",4552848123600,"Limburg-Zuid","Limburg-Zuid",287245504,270,4,2,4180288,0.0939962492850715,0.0013925370264455,0.000696268513222752
2020-09-28,"VR25","40",23312322496000,"Flevoland","Flevoland",203473101,402,7,1,2961147,0.197569112587516,0.00344025817938461,0.000491465454197801
2020-10-05,"VR01","41",13181638382700,"Groningen","Groningen",281643297,883,11,1,4098759,0.313517136536006,0.00390564949252103,0.000355059044774639
2020-10-05,"VR02","41",19718454688551.7,"Fryslân","Fryslân",312629317,834,10,2,4549699,0.266769606895184,0.00319867634166888,0.000639735268333776
2020-10-05,"VR03","41",18432769754200,"Drenthe","Drenthe",237461042,741,17,9,3455774,0.31205118690585,0.00715906906531641,0.00379009538752045
2020-10-05,"VR04","41",20411456950419.4,"IJsselland","IJsselland",255575502,737,3,1,3719394,0.288368796787104,0.00117382142518495,0.000391273808394985
2020-10-05,"VR05","41",60261769631724.1,"Twente","Twente",303541784,1401,9,6,4417448,0.461550954052507,0.00296499542217885,0.0019766636147859
2020-10-05,"VR06","41",14636305666200,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,1155,9,1,5794117,0.290099972243084,0.00226051926423182,0.000251168807136869
2020-10-05,"VR07","41",27168476684058.8,"Gelderland-Midden","Gelderland-Midden",335076625,1415,13,6,4876375,0.422291468406667,0.00387970960373616,0.00179063520172438
2020-10-05,"VR08","41",28482478141461.5,"Gelderland-Zuid","Gelderland-Zuid",270127676,1134,23,4,3931172,0.419801486760653,0.00851449223588626,0.001480781258415
2020-10-05,"VR09","41",65468936453703.7,"Utrecht","Utrecht",651675154,3588,28,9,9483838,0.550581064503803,0.00429661923247115,0.00138105618186573
2020-10-05,"VR10","41",25444732685478.3,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,736,7,3,4639236,0.230878935907091,0.00219585944476853,0.000941082619186514
2020-10-05,"VR11","41",44226618692933.3,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,867,9,2,2374274,0.531424073946967,0.00551651287834222,0.00122589175074272
2020-10-05,"VR12","41",6034828746000,"Kennemerland","Kennemerland",264524507,1171,19,11,3849629,0.442681100999084,0.00718269933303382,0.00415840487701958
2020-10-05,"VR13","41",36026317720000,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,3836,53,8,13603324,0.410380314586081,0.00567000956023521,0.000855850499658145
2020-10-05,"VR14","41",47681687850000,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,586,4,2,1799525,0.473906532449759,0.00323485687679016,0.00161742843839508
2020-10-05,"VR15","41",64071313428000,"Haaglanden","Haaglanden",537291911,3430,46,19,7819217,0.638386681388174,0.00856145403610962,0.00353625275404528
2020-10-05,"VR16","41",35349593248750,"Hollands-Midden","Hollands-Midden",389061660,2062,27,4,5662020,0.529993112145771,0.00693977401936752,0.00102811466953593
2020-10-05,"VR17","41",76871974512173.9,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,4817,61,15,9264038,0.756709667014223,0.00958258037946183,0.00235637222445783
2020-10-05,"VR18","41",71299310007142.9,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,1289,2,2,3215597,0.583370234480122,0.000905151643879165,0.000905151643879165
2020-10-05,"VR19","41",20493619670000,"Zeeland","Zeeland",184457728,340,5,0,2684416,0.18432407451099,0.00271064815457339,0
