Version,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_per_ml,RNA_flow_per_100000
1,7/21/2020,4023,Kampen,0,
1,7/21/2020,25027,Lage Zwaluwe,0,
1,7/21/2020,2011,Leeuwarden,0,
1,7/21/2020,10037,Loenen,0,
1,7/21/2020,25017,Nieuwveer,195,
1,7/21/2020,25013,Riel,970,
1,7/21/2020,3027,Smilde,0,
1,7/22/2020,9016,Arnhem,35,
1,7/22/2020,2021,Damwoude,0,
1,7/22/2020,2012,Drachten,0,
1,7/22/2020,7022,Etten,0,
1,7/22/2020,13010,Haarlem Waarderpolder,0,
1,7/22/2020,2022,Joure,0,
1,7/22/2020,13033,Leiden Zuid-West,0,
1,7/22/2020,13030,Leimuiden,0,
1,7/22/2020,30007,Bosscherveld,0,
1,7/22/2020,13038,Nieuwveen,0,
1,7/22/2020,9024,Nijmegen,0,
1,7/22/2020,30023,Panheel,0,
1,7/22/2020,30011,Simpelveld,0,
1,7/22/2020,30022,Susteren,0,
1,7/22/2020,23002,Terneuzen,51,
1,7/22/2020,10009,Utrecht,495,
1,7/22/2020,30017,Venlo,30,
1,7/22/2020,30020,Venray,74,
1,7/22/2020,7016,Winterswijk,0,
1,7/23/2020,3010,Assen,0,
1,7/23/2020,16010,Kralingseveer,1009,
1,7/23/2020,12023,Den Helder,472,
1,7/23/2020,5012,Oldenzaal,0,
1,7/23/2020,1039,Scheemda,0,
1,7/23/2020,3028,Sleen,0,
1,7/23/2020,1008,Stadskanaal,0,
1,7/23/2020,4027,Tollebeek,0,
1,7/23/2020,3023,Tweede Exloermond,0,
1,7/23/2020,12021,Wervershoof,0,
1,7/23/2020,12018,Wieringen,0,
1,7/23/2020,6006,Zeewolde,0,
1,7/24/2020,10027,Amersfoort,0,
1,7/24/2020,5025,Den Ham,349,
1,7/24/2020,8021,Ede,0,
1,7/24/2020,4024,Hardenberg,0,
1,7/24/2020,10020,Woudenberg,0,
1,7/25/2020,29003,Land Van Cuijk,144,
1,7/25/2020,18006,Westerschouwen,232,
1,7/26/2020,28003,Aarle-Rixtel,177,
1,7/26/2020,9016,Arnhem,0,
1,7/26/2020,3010,Assen,0,
1,7/26/2020,27008,'S Hertogenbosch,49,
1,7/26/2020,28005,Dinther,729,
1,7/26/2020,8017,Epe,0,
1,7/26/2020,1034,Feerwerd,0,
1,7/26/2020,1033,Garmerwolde,0,
1,7/26/2020,6004,Lelystad,825,
1,7/26/2020,9024,Nijmegen,0,
1,7/26/2020,10009,Utrecht,0,
1,7/26/2020,6006,Zeewolde,407,
1,7/27/2020,12006,Alkmaar,894,
1,7/27/2020,11014,Amsterdam West,1226,
1,7/27/2020,12022,Beverwijk,68,
1,7/27/2020,11008,Blaricum,0,
1,7/27/2020,4019,Deventer,0,
1,7/27/2020,2012,Drachten,0,
1,7/27/2020,5002,Enschede,243,
1,7/27/2020,2038,Franeker,0,
1,7/27/2020,2032,Harlingen,315,
1,7/27/2020,15008,Harnaschpolder,953,
1,7/27/2020,15005,Houtrust,862,
1,7/27/2020,4023,Kampen,152,
1,7/27/2020,10037,Loenen,0,
1,7/27/2020,17011,Ridderkerk,211,
1,7/27/2020,4026,Zwolle,0,
1,7/28/2020,9013,Asperen,770,
1,7/28/2020,28002,Asten,20,
1,7/28/2020,25021,Bath,172,
1,7/28/2020,9017,Bergharen,0,
1,7/28/2020,2021,Damwoude,0,
1,7/28/2020,13010,Haarlem Waarderpolder,167,
1,7/28/2020,25020,Kaatsheuvel,218,
1,7/28/2020,25027,Lage Zwaluwe,0,
1,7/28/2020,2011,Leeuwarden,129,
1,7/28/2020,13033,Leiden Zuid-West,219,
1,7/28/2020,25017,Nieuwveer,0,
1,7/28/2020,17054,Piershil,0,
1,7/28/2020,25012,Putte,32,
1,7/28/2020,25013,Riel,673,
1,7/28/2020,23002,Terneuzen,0,
1,7/29/2020,16010,Kralingseveer,2644,
1,7/29/2020,15007,De Groote Lucht,93,
1,7/29/2020,12023,Den Helder,0,
1,7/29/2020,10008,Driebergen,0,
1,7/29/2020,3033,Echten,0,
1,7/29/2020,7022,Etten,0,
1,7/29/2020,13030,Leimuiden,0,
1,7/29/2020,30007,Bosscherveld,105,
1,7/29/2020,13038,Nieuwveen,0,
1,7/29/2020,5012,Oldenzaal,0,
1,7/29/2020,30023,Panheel,0,
1,7/29/2020,30011,Simpelveld,0,
1,7/29/2020,3028,Sleen,0,
1,7/29/2020,3027,Smilde,0,
1,7/29/2020,27010,Sint-Oedenrode,0,
1,7/29/2020,30022,Susteren,248,
1,7/29/2020,32002,Tilburg,347,
1,7/29/2020,4027,Tollebeek,0,
1,7/29/2020,30017,Venlo,0,
1,7/29/2020,30020,Venray,149,
1,7/29/2020,12021,Wervershoof,144,
1,7/29/2020,12018,Wieringen,132,
1,7/29/2020,7016,Winterswijk,60,
1,7/30/2020,10027,Amersfoort,70,
1,7/30/2020,8021,Ede,379,
1,7/30/2020,2015,Gorredijk,124,
1,7/30/2020,2022,Joure,0,
1,7/30/2020,21001,Walcheren,150,
1,7/30/2020,18006,Westerschouwen,97,
1,7/30/2020,10020,Woudenberg,0,
1,7/31/2020,29003,Land Van Cuijk,197,
1,8/1/2020,28003,Aarle-Rixtel,334,
1,8/1/2020,8022,Apeldoorn,49,
1,8/1/2020,3010,Assen,0,
1,8/1/2020,27008,'S Hertogenbosch,526,
1,8/1/2020,28005,Dinther,310,
